,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
1462,1463,390624.0,Olof Persvägen 13,"Älvängen, Ale kommun",Ale,29 juni 2015,2015-06-29,2585000,0.0,detached house,Ownership,4.0,99.0,124.0,1268,1964,0,36800,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-alvangen-ale-kommun-olof-persvagen-13-390624
1463,1464,381772.0,Grunne 145,"Alafors, Ale kommun",Ale,29 juni 2015,2015-06-29,2150000,0.0,detached house,Ownership,6.0,179.0,38.0,1300,1909,0,27996,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-alafors-ale-kommun-grunne-145-381772
1464,1465,377921.0,Rishedsvägen 25c,"Alafors, Ale kommun",Ale,26 juni 2015,2015-06-26,3650000,0.0,detached house,Ownership,0.0,124.0,124.0,1601,1981,0,45000,0,0,0,,,https://www.hemnet.se/salda/villa-124m2-alafors-ale-kommun-rishedsvagen-25c-377921
1465,1466,377661.0,Båtsmansvägen 3,"Älvängen, Ale kommun",Ale,25 juni 2015,2015-06-25,3300000,0.0,detached house,Ownership,7.0,181.0,0.0,420,2005,0,41500,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-alvangen-ale-kommun-batsmansvagen-3-377661
1466,1467,632307.0,Vikaredsvägen Tomt M Hus Tyr,"Älvängen, Ale kommun",Ale,24 juni 2015,2015-06-24,1300000,0.0,detached house,Ownership,3.0,121.4,19.5,803,0,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-alvangen-ale-kommun-vikaredsvagen-tomt-m-hus-tyr-632307
1467,1468,376762.0,Kilanda-Hult 160,Ale kommun,Ale,23 juni 2015,2015-06-23,3650000,0.0,detached house,Ownership,6.0,178.0,20.0,2495,1991,0,33083,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-ale-kommun-kilanda-hult-160-376762
1468,1469,375480.0,Lilla Alfhem 480,"Alvhem, Ale kommun",Ale,18 juni 2015,2015-06-18,2350000,0.0,detached house,Ownership,5.0,174.0,67.0,3307,1969,0,19600,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-alvhem-ale-kommun-lilla-alfhem-480-375480
1469,1470,375479.0,Bräcke 315,"Älvängen, Ale kommun",Ale,18 juni 2015,2015-06-18,1700000,0.0,detached house,Ownership,3.0,89.0,0.0,3270,1967,0,20650,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-alvangen-ale-kommun-bracke-315-375479
1470,1471,372942.0,Granhäcksvägen 6 b,"Surte, Ale kommun",Ale,14 juni 2015,2015-06-14,3500000,0.0,detached house,Ownership,6.0,156.0,0.0,667,2010,0,19120,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-surte-ale-kommun-granhacksvagen-6-b-372942
1471,1472,372745.0,Pernillas Väg 4,"Nödinge, Ale kommun",Ale,13 juni 2015,2015-06-13,5800000,0.0,detached house,Ownership,8.0,208.0,62.0,971,2008,0,42157,0,0,0,,,https://www.hemnet.se/salda/villa-8rum-nodinge-ale-kommun-pernillas-vag-4-372745
